Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,high alpha
109.6413651,1064,540.940273,0.648556117,634.6649069,0.384805283,441.8846852,-0.198098063,316.6736673,0.525491158,690.4285101,0.429479826,2142.858686,0.373466558,OOOOOO,,,
109.7367446,1065,583.0383626,-0.729998142,821.7781732,1.246300236,908.7040874,-0.366607257,1107.668496,-2.385584771,1701.68092,-1.489397247,2918.165075,-1.138708611,OOOOOO,,,
109.8387241,1066,594.0374607,-1.842977907,851.1265837,-0.532220825,675.8057698,-0.025148906,869.3608441,-2.003381929,1649.965261,-1.808049232,3575.917922,-1.859642002,OOOOOO,,,
109.9443145,1067,902.6535727,-2.434286517,809.0052518,0.704949131,613.5625379,-2.121263136,803.9859606,-1.982460372,1638.207649,-1.385695016,3923.069103,-1.175933653,OOOOOO,,,
110.0472858,1068,1000.033268,-2.882320722,784.9254187,1.047060323,639.4937924,-0.32316235,811.9473339,-1.955192783,1546.595283,-1.986575446,3999.300854,-1.159549767,OOOOOO,,,
110.1456769,1069,816.9087991,1.959898212,860.7141105,1.73880822,663.4259576,0.427842727,610.375505,-0.493022574,1306.408521,-1.224069361,3817.208111,-0.952734363,OOOOOO,,,
110.2481194,1070,883.0768159,2.170904778,1198.586738,2.130162477,626.6410867,2.217244875,629.1970402,-0.379494476,1206.61705,-1.018682114,3730.802037,-1.046170401,OOOOOO,,,
110.3462646,1071,525.9380599,-0.267701316,928.0062609,2.603587406,485.7569258,0.814201884,498.6978454,-0.113566059,1161.256338,-0.299300884,3808.205493,-0.32249692,OOOOOO,,,
110.4482429,1072,651.1783333,-2.478699336,324.6588758,-2.677809958,406.1421025,0.632501333,397.9703605,-0.124885253,952.3319815,-0.488161335,3727.966614,-0.652230251,OOOOOO,,,
110.5512359,1073,680.8844721,-2.218542777,246.205491,-1.973979074,573.8025657,-2.433555257,645.8108261,-1.514467064,1096.861663,-1.83096755,3628.204006,-1.553273593,OOOOOO,,,
110.6491666,1074,426.5036679,-2.193965729,125.7576753,-1.044522692,317.965134,-0.921310983,542.1097139,-0.940495274,898.7044452,-0.380851407,3068.379336,-0.534617291,OOOOOO,,,
110.7512467,1075,1132.976129,-2.251670528,892.363594,-0.851129426,462.130561,0.931696211,372.2815848,-0.081168904,747.142328,0.603323571,2057.910815,0.203541215,OOOOOO,,,
110.8531885,1076,1133.724676,-0.052056007,892.6605049,-0.223787475,461.4619284,-0.951315524,372.2915822,0.014278876,747.1059114,0.317817394,2057.905626,0.203512447,OOOOOO,,,
110.9525561,1077,1134.809782,2.037468293,959.463345,0.40630221,479.2151629,0.71008383,406.5460486,0.568332072,785.1308988,0.629858462,2077.981299,0.207777397,OOOOOO,,,
111.0548468,1078,1207.361233,0.829081662,1081.182795,0.671774694,705.6960018,0.68061645,800.2446601,0.717986542,1349.227929,0.783322341,3581.109441,1.099141735,OOOOOO,,,
111.1528115,1079,1132.409759,0.093700982,1053.735482,-0.20719603,849.1406442,0.40536687,840.4080639,0.875414532,1369.236775,0.673419565,4017.679025,1.017299625,OOOOOO,,,
111.2557881,1080,977.2218821,-0.904571419,1144.084609,0.226298753,591.9527778,-0.17043608,865.6928285,0.755899407,1463.051892,0.416124692,4092.377073,0.784340209,XXXXXX,,,
111.3577788,1081,1404.939583,1.200603041,1100.707558,0.734008945,667.7951525,1.158659047,818.6028565,0.58081779,1353.003918,0.908047325,4240.334639,1.110280148,XXXXXX,,,
111.4558342,1082,1449.591905,0.67621197,922.0505331,1.281163007,694.0040683,0.907253046,634.8046541,0.925138553,1217.500771,0.465210236,4046.031247,0.576780155,XXXXXX,,,
111.5587382,1083,1088.241758,-0.238004276,836.300583,-2.0923426,603.7487468,1.208938044,588.6374536,0.708518181,1064.219095,0.406334858,3791.733041,0.493909621,XXXXXX,,,
111.6531205,1084,997.4841442,-1.1330446,941.2981057,-1.341576396,479.5457901,-1.648893116,502.6769133,0.510199671,966.8289009,-0.188466471,3663.670698,0.371428098,XXXXXX,,,
111.7593813,1085,750.7252838,-0.321666585,551.3523232,-0.41902333,486.3221163,-0.107003899,708.7611661,0.306521326,1051.610254,0.805399128,3624.114153,1.025597591,XXXXXX,,,
111.8616338,1086,822.6723577,-0.585451764,665.0744832,-0.698313121,454.8306507,0.307943871,573.6215159,-0.112617697,952.7702276,0.003805936,3177.625188,0.102875674,XXXXXX,,,
111.9539132,1087,1263.191341,-0.148702703,1120.471722,0.3114455,755.9515508,0.438494801,622.2647996,-0.119869013,1045.631408,0.455751098,2021.54394,-0.067744298,XXXXXX,,,
112.053067,1088,647.0125415,-1.263686136,561.4411809,1.328728279,375.5229569,-0.186327637,445.9725773,-0.137550379,627.8339633,-0.081440293,1966.898835,-0.486457526,XXXXXX,,,
112.1643384,1089,647.2561498,-2.204822789,560.762452,-0.136419446,375.4185544,0.438880538,445.9593333,-0.041081626,627.8806379,0.204409641,1967.074737,-0.155617814,OOOOOO,,,
112.2628679,1090,1174.209711,0.280075054,674.5962967,-1.650244507,550.6732468,-0.900484661,891.5590795,-0.995275805,1214.280228,-1.433748246,3367.65494,-1.446116268,OOOOOO,,,
112.3652761,1091,995.1443815,-0.213643211,528.9746999,-1.409682345,649.013343,-1.273385207,900.5151384,-1.386272886,1387.005033,-1.54246346,3817.432289,-1.439709834,OOOOOO,,,
112.4693363,1092,784.8007996,0.912822132,468.0101706,0.121169544,712.7636153,-1.507664661,851.2550211,-1.430125447,1318.034018,-2.062592322,3839.815399,-1.55891146,OOOOOO,,,
112.5568016,1093,910.9692927,0.054525308,591.6758456,0.420203753,625.452902,-1.13294034,785.2886696,-1.14503218,1442.510969,-2.19844935,4223.525824,-2.006971978,OOOOOO,,,
112.6689129,1094,1244.32091,-0.510065854,609.7500902,-1.350207781,540.916959,1.600388251,668.2751573,-1.421664465,1309.758168,-1.635303518,4075.49688,-1.134277861,OOOOOO,,,
112.7663784,1095,1184.74923,2.191553367,355.782637,-0.754049473,578.2144313,-0.542419272,524.8773001,-0.692646848,1245.874211,-1.641567292,3860.721365,-1.527410067,XXXXXX,,,
112.8689377,1096,821.1030043,1.297064438,317.2513255,-0.011553139,354.7566738,-1.803809115,376.2186951,0.537076342,1061.394494,-0.709909898,3644.680072,-0.334060156,XXXXXX,,,
112.969435,1097,515.4715157,1.38519308,510.5902442,2.706770491,568.5061508,-1.784673352,611.3235853,-2.396559505,1275.295458,-2.153883991,3819.260845,-1.955162259,XXXXXX,,,
113.0689962,1098,658.157568,-0.471079688,453.2204363,-1.055749609,343.9917773,-1.869585823,414.2941754,-1.45279573,1114.992576,-1.266477982,3331.493678,-1.268013777,OOOOOO,,,
113.1721911,1099,895.9524227,-1.581062525,592.5389348,-0.675670485,510.1156669,-1.449458614,710.1073758,-2.124781661,1438.641474,-1.894136517,2661.898602,-0.677388426,OOOOOO,,,
113.2741721,1100,807.6198019,-1.894129968,206.837137,1.245693933,325.4737473,-0.320514041,234.2450778,-0.285010797,681.3412071,0.062879392,2016.451733,0.1957049,OOOOOO,,,
113.3731587,1101,807.3817003,0.30403793,206.4774947,-0.212763595,325.7691724,0.304043395,234.2463334,-0.672534874,681.6821153,0.348796702,2016.792709,0.195412251,OOOOOO,,,
113.4746385,1102,929.7474929,-0.336296102,641.6389994,0.64447377,696.1471245,0.575134341,587.3275069,0.618074841,2024.500792,0.915042803,3325.829393,1.186120503,OOOOOO,,,
113.5733297,1103,773.9356429,-1.280582796,556.2436362,0.467590153,698.0902908,0.28084205,736.3040184,0.737872915,1651.331535,1.094215902,3674.49412,1.348646056,OOOOOO,,,
113.6761022,1104,602.6344134,0.554591428,635.5644578,0.299853209,563.2101215,0.633154635,792.0266278,0.797777694,1667.786685,1.233920258,4187.855325,1.462353729,XXXXXX,,,
113.7704723,1105,589.5480541,2.105925193,795.4516359,0.590303467,570.4274003,0.989173561,776.2416958,0.8770633,1433.383629,0.867513286,4093.069715,0.504213635,OOOOOO,,,
113.8719785,1106,1168.988466,1.444667049,870.2779138,0.971683099,663.990732,0.624797739,648.7479629,1.031097516,1354.803676,1.1235029,4190.920467,0.937378764,OOOOOO,,,
113.9790936,1107,497.6873864,0.384796293,410.2549843,-0.066854391,413.8395136,0.459425937,672.7244197,0.75667041,1388.064544,0.850424066,4023.571375,0.852372928,OOOOOO,,,
114.0704114,1108,465.0015996,-0.170622533,470.9777129,-0.305010502,236.832405,0.413532807,500.8837849,0.620434194,1122.744273,0.66436873,3712.238675,0.380272022,OOOOOO,,,
114.1800115,1109,833.54872,-0.652868187,661.0220893,-0.098397768,490.7519652,-0.070351569,688.4591736,0.477406261,1182.927457,1.194392197,3803.327874,1.16107727,OOOOOO,,,
114.2816656,1110,766.0259111,-0.911468669,627.5515064,-0.135593108,511.0150558,0.012901406,571.9938985,0.386926228,1049.820995,0.639671469,3497.168405,0.685648486,OOOOOO,,,
114.3804977,1111,719.3971073,-1.547749541,581.3121826,-0.625220446,537.0511205,-0.441737133,497.1732265,0.607615214,831.4050747,-0.205426846,2948.800214,0.087005879,OOOOOO,,,
114.4829607,1112,646.3489789,-0.38190606,148.2186003,0.205341897,251.5762727,-0.315428299,251.7501822,0.374702259,525.888116,-0.675437313,1866.307018,-0.265455944,OOOOOO,,,
114.5856118,1113,645.8979497,1.818216627,148.866386,-1.265145977,252.4674525,-0.939354396,251.3270862,-0.011532511,525.8658871,0.178527135,1866.396476,0.06340282,OOOOOO,,,
114.6835899,1114,629.9770903,0.917195908,192.3206041,-0.483242707,285.8261355,-0.205030454,309.6274788,-0.968893469,596.574582,-0.290730376,1908.333764,-0.411505132,OOOOOO,,,
114.7856042,1115,785.8632686,0.088975868,415.6689741,-0.796185991,839.6538924,-1.345034779,734.8644987,-1.451398891,1391.543459,-0.770410144,3568.403205,-1.17212564,OOOOOO,,,
114.8836074,1116,783.7328778,-0.7628665,513.3514709,-2.761277913,603.3443425,-1.515734951,793.8130287,-1.009212748,1329.336226,-1.469286944,3955.218697,-1.590307657,OOOOOO,,,
114.9865751,1117,770.414107,0.70524051,480.6365201,-2.598269382,692.2310115,-1.391657122,801.3523898,-1.099557385,1331.739952,-0.932977147,3988.291883,-1.014966374,OOOOOO,,,
