Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,,highalpha
58.64469719,549,527.0095653,0.951571627,641.2606649,0.035542283,360.6782101,-0.132831714,314.3865491,0.644774621,497.1639514,0.004744506,1737.095239,-0.078353753,OOOOOO,,,,
58.75430822,550,612.5998617,0.109247091,652.1308546,0.880718398,392.044053,0.580710831,335.6655453,0.4580466,510.5596127,0.25772267,1737.579319,-0.090651234,OOOOOO,,,,
58.8573544,551,583.9327646,-0.930356794,779.8293113,1.196248435,735.3590384,0.540839996,575.9605862,1.039237116,989.8702941,1.140595172,3019.153286,1.248259517,OOOOOO,,,,
58.95496559,552,797.6634987,1.231641669,802.2140799,1.547176913,589.181776,0.740143031,598.9056496,1.123077264,1048.08805,1.193266549,3261.295145,0.768159379,OOOOOO,,,,
59.05795264,553,756.6724747,0.416434994,573.8189088,2.070683735,653.3912954,1.392435767,460.1424207,0.877790799,821.3639195,1.362665224,3067.049984,1.162142994,OOOOOO,,,,
59.16091681,554,625.5917218,-0.521408665,682.8652887,1.233332583,468.9089833,1.003827055,469.3322068,1.504716202,701.2845175,1.193035821,3191.739135,1.333389935,OOOOOO,,,,
59.25792742,555,427.5053003,-1.776906782,813.6130212,1.590768408,305.000292,0.397738792,430.7824727,1.627217027,538.5456903,1.107824971,2981.627015,0.870124128,OOOOOO,,,,
59.36072898,556,689.7709469,-2.571618423,720.6911677,0.582846667,295.3017915,0.548113486,313.9196984,0.029960995,523.4150323,0.057275154,2930.760008,-0.014213719,OOOOOO,,,,
59.45888662,557,527.1860133,-2.099633498,459.6591405,-0.104013761,347.4518463,1.365126105,315.6710717,0.222055495,587.7741321,0.055233145,2983.876202,0.081526969,OOOOOO,,,,
59.56136632,558,451.0828383,0.677402202,506.8258624,0.915268082,437.4802311,-0.249821824,444.0837784,0.3876055,972.3585451,0.873888045,3163.350016,0.80139545,OOOOOO,,,,
59.66050363,559,463.5395224,0.572060484,475.087199,-0.708257752,479.1605329,1.12052164,400.9048303,0.879462872,843.1229406,0.779941516,2840.848444,0.789674389,OOOOOO,,,,
59.76121569,560,557.5513047,-0.552482289,617.1804051,-0.401805955,381.6815886,-0.234038273,728.6737518,0.639162839,1378.406241,0.43698766,2132.632556,0.344244238,OOOOOO,,,,
59.86481023,561,148.2909287,0.142929309,376.436617,0.36960388,346.8950376,0.240443238,396.0116935,-0.278549744,614.5039134,0.298053494,1744.395127,0.189257517,OOOOOO,,,,
59.96679831,562,234.7266992,2.601745637,353.4787153,-1.310419639,364.9595461,-0.267707801,454.4875682,-0.729831344,677.3431054,-0.480887524,1770.689818,0.235629141,OOOOOO,,,,
60.06478548,563,438.1718652,-2.312843294,442.8352747,-1.611782475,697.1681189,-2.306817629,790.4098781,-2.357129654,1088.642189,-1.101949899,3109.134312,-1.17342409,OOOOOO,,,,
60.16775227,564,467.7342076,-2.735155018,307.8874594,-2.386282594,695.7681139,-2.425791848,645.3968812,-1.963550223,1089.37294,-1.519309613,3394.354773,-1.274883466,OOOOOO,,,,
60.26113605,565,475.8973384,-2.519786038,425.6800839,-2.319390414,367.0990783,-2.26090072,449.9060939,-1.307169109,936.1587765,-1.589098757,3232.830158,-1.048715874,OOOOOO,,,,
60.36772895,566,657.7766441,-1.802913365,662.4294163,-1.492584626,496.0028984,-1.454874372,523.2962116,-1.130338537,924.5621198,-1.252374277,3314.618645,-0.565277656,OOOOOO,,,,
60.47017336,567,599.3389001,-2.255817722,721.4632817,-1.592222856,289.0838655,-1.041085245,398.4229436,-1.089886741,680.2358487,-0.33660603,3067.327389,-0.122678785,OOOOOO,,,,
60.56865764,568,572.1241043,-1.713907166,830.0088946,-1.116116595,340.2353415,-1.539019409,493.5508021,-1.074631903,593.2632977,-0.484783336,3019.338989,-0.404090975,OOOOOO,,,,
60.67112541,569,499.9341738,-1.898857996,743.2834737,-1.209617878,510.3384414,-0.949934226,407.6843789,-1.072862971,590.8341699,0.962290518,3021.884039,0.567099189,OOOOOO,,,,
60.76136827,570,383.8176515,2.548256571,516.2566277,-1.872433239,371.1525683,-0.51217909,500.0590887,-2.058674549,796.0760605,-1.439301448,3129.082541,-1.033413327,OOOOOO,,,,
60.87219429,571,385.4652777,1.162652955,465.3680233,-1.281727868,359.0278399,-1.289749788,370.3091745,0.261560656,697.6116267,-1.284962678,2789.947789,-1.158556014,OOOOOO,,,,
60.97462058,572,405.3303762,-0.834848622,531.0973643,-0.723641079,566.719951,-1.10737836,467.6283059,-2.189455282,930.9883606,-2.037480185,1994.693659,-1.393993945,OOOOOO,,,,
61.0731194,573,425.2383696,-1.526105807,416.0779525,-0.005267139,371.698768,1.184709461,338.6028563,0.090463149,468.4374974,0.297227646,1805.307242,0.190291828,OOOOOO,,,,
61.16125393,574,617.8910141,0.693805125,418.6210365,0.509433764,511.0509496,0.721799989,478.2115776,0.827315833,784.3547232,1.494162678,1976.240523,1.023917034,OOOOOO,,,,
61.27760386,575,908.8369722,0.030216285,334.5863291,0.763454091,663.9642329,0.694094073,723.2833378,0.746180758,1078.876719,1.233259085,3113.045529,1.151051468,OOOOOO,,,,
61.3755672,576,600.6671563,0.541772411,379.0699353,1.625169347,604.46434,1.520941295,686.5651316,1.122532964,832.561751,0.932888731,3150.581472,0.765452302,OOOOOO,,,,
61.47809005,577,532.6964092,0.942496254,621.2715,1.427686151,643.7929125,1.44494254,495.4130523,1.5711381,740.4385146,1.078091534,3174.508022,1.037615011,OOOOOO,,,,
61.57802224,578,876.9889337,1.810994421,739.6944966,1.879023033,620.3149011,1.818929051,467.9150023,1.483006488,662.5047231,1.031577134,3146.904199,0.910005909,OOOOOO,,,,
61.67797089,579,1099.983297,1.628364005,670.5399858,1.745828802,529.4360662,1.723128512,415.7031823,1.48894898,697.3820627,1.576891158,3066.940927,0.982379045,OOOOOO,,,,
61.78115845,580,806.3339335,1.119577509,493.0464512,1.4207402,542.940275,1.841000623,490.0817861,1.17472146,658.939893,1.238870899,3027.15078,0.801055061,OOOOOO,,,,
61.87917948,581,862.3079835,-2.079395621,336.4703232,-0.781765662,408.4957734,0.273457937,402.2855775,0.564533352,537.6903555,-0.964003428,2975.900415,-0.367241658,OOOOOO,,,,
61.98216367,582,572.5012197,0.232171806,611.4845234,0.390830716,464.0463344,0.599792906,533.2584221,0.619754714,651.028331,1.281577551,2948.852668,1.105465898,OOOOOO,,,,
62.08414483,583,940.0435223,2.154227942,413.5132078,0.952918319,705.3293548,0.539269514,520.5360614,0.840529917,608.3980641,1.347889474,2644.281574,1.261065124,OOOOOO,,,,
62.17752838,584,741.0752701,-1.484603862,688.8348616,-0.736437553,546.5046905,0.292407543,540.9581356,0.415069507,586.1227202,0.378414408,1781.05961,0.264403575,OOOOOO,,,,
62.2846384,585,728.445374,0.637124382,497.5076167,-0.362360419,440.6340739,0.037136573,506.8793385,0.194411196,517.9873319,0.360286663,1790.411106,0.110775236,OOOOOO,,,,
62.38710642,586,896.657803,-0.190781025,468.7674893,0.572431981,562.3884601,-1.376833581,609.5147951,-0.321136833,902.6657159,-1.017669662,2075.990161,-0.682222461,OOOOOO,,,,
62.48610067,587,597.3303689,-0.641643167,766.9730738,1.34378291,553.2626891,-2.162940018,778.1881233,-1.444494819,1180.805359,-1.359662216,3153.419234,-1.393201067,OOOOOO,,,,
62.58809042,588,281.148812,1.286287666,785.6180989,-2.394148337,565.1664573,-0.898424469,678.0886184,-0.707469403,981.2956833,-1.364023979,3299.086677,-1.236777692,OOOOOO,,,,
62.6860714,589,756.7133249,-1.058293538,862.2721968,-2.015965065,636.7332369,-1.336305594,525.7346012,-0.827048248,699.1338121,-1.053453383,3201.040111,-1.080123335,OOOOOO,,,,
62.78872514,590,1499.804964,-1.62295268,1037.485021,-1.361380048,418.7166004,-1.472308842,579.6015134,-0.592364739,568.7627925,-0.944090659,3120.987317,-0.765821223,OOOOOO,,,,
62.89070129,591,455.704117,-0.06790798,508.1034161,-0.28898044,366.4530086,0.202446378,426.7175745,0.415467929,498.6237539,-0.141480574,2986.923416,-0.432135433,OOOOOO,,,,
62.98969889,592,593.3128753,-2.267689267,577.6241075,0.048829059,392.1485519,-1.547979633,416.5375932,0.667489058,501.9357855,-0.363065428,3029.658982,-0.717400834,OOOOOO,,,,
63.09167409,593,544.2461639,-1.951882006,611.5645188,-1.396528315,358.8392054,-1.158574342,335.5746736,1.1424692,661.2820958,0.395505582,3081.966649,-0.079022429,OOOOOO,,,,
63.19417691,594,724.6579548,2.496945475,404.8191188,-0.323708078,509.4238585,-0.711237148,464.2429525,-1.672685274,622.5971314,-1.529136318,2982.136805,-0.928274126,OOOOOO,,,,
63.29371142,595,563.8223977,0.038846933,378.0782844,0.241710265,436.027665,-0.028052628,425.9055876,-1.185371749,623.9172483,-1.850159761,2732.829063,-1.608251361,OOOOOO,,,,
63.39754748,596,589.6150266,-0.066286958,401.1925221,-1.042798767,435.7619505,-0.060204129,341.7169182,-0.776394231,443.8505015,-0.228466189,1754.815358,-0.207422205,OOOOOO,,,,
63.49408746,597,587.1477798,-1.02299235,390.8649656,-0.445032041,421.0070067,-0.433199291,316.9222636,0.292681547,445.7639381,0.178883868,1767.220097,-0.159523837,OOOOOO,,,,
63.59557676,598,909.2349132,0.76808308,327.115433,0.08531775,666.7813196,1.04833192,626.6289196,0.86365065,1105.96133,1.4316928,2236.43571,1.236582975,OOOOOO,,,,
63.6976006,599,1151.346425,0.117904678,620.9427071,-0.34247739,483.2593336,0.001873858,582.2565122,0.771658225,1213.855947,1.075182733,3137.190976,0.887672015,OOOOOO,,,,
63.79656005,600,790.1336123,-0.020550956,325.616312,0.22545918,587.699715,0.13819898,596.438405,0.446208675,916.0534901,1.039663554,3246.983574,0.702268852,OOOOOO,,,,
63.89853454,601,300.0482963,-0.31903125,145.7632896,-0.21852698,248.18364,0.959377324,349.9008802,0.347245335,680.4580092,0.828325922,3135.833521,0.886780001,OOOOOO,,,,
63.99651361,602,473.6539522,-0.163285642,163.1738954,1.4117377,309.3188276,0.379938648,214.3104071,0.506078979,569.2448853,0.769749689,3132.488622,0.726994872,OOOOOO,,,,
64.09952307,603,423.8283933,-0.635521283,163.1203309,1.847378177,351.4084727,0.767651946,336.2833507,-0.384736385,498.3647637,0.540865421,3012.454921,0.168652551,OOOOOO,,,,
64.20148945,604,253.1124592,-1.353228725,208.752814,-1.124244178,217.9382703,-1.604553464,395.404627,-0.149539423,527.1898786,-0.070030169,3024.977841,-0.064365614,OOOOOO,,,,
64.29949713,605,222.3476448,-1.180304626,206.3692673,-0.833004428,160.0988813,-0.057772733,424.7082059,0.421809372,524.4795652,0.164123699,3016.043475,0.236860761,OOOOOO,,,,
64.40248585,606,323.4529769,-0.356181403,415.2060471,0.190325109,379.3675181,0.727440031,497.0029655,0.61801458,573.2917001,0.865624665,2983.821521,0.745584067,OOOOOO,,,,
64.50512409,607,367.8176791,-0.661728412,473.3491717,0.291771558,342.6575537,-0.07952428,554.114715,0.826982948,515.8342529,1.009788502,2682.482424,0.992453392,OOOOOO,,,,
64.60321832,608,263.6399026,-0.504174899,181.1605545,1.043179287,312.7807129,-0.377801362,509.565985,0.071275756,474.1668025,-0.81938236,1649.359812,-0.446958441,OOOOOO,,,,
64.70510507,609,324.2674844,1.853590605,241.9541032,-0.698864344,288.210983,0.172262522,489.0562259,0.198770113,480.6100174,-0.606014281,1666.077096,-0.145008122,OOOOOO,,,,
64.8039465,610,460.7369442,0.229099306,454.9123267,-0.677381538,485.1909648,-0.35946977,721.685485,-1.342871229,1337.767766,-1.685495246,2374.052203,-1.022643688,OOOOOO,,,,
64.90637279,611,513.4142878,0.257154764,336.7174617,-0.764828746,544.0428751,-2.327541864,680.8142385,-1.620788014,1193.19053,-1.871738049,3107.220003,-1.734630397,OOOOOO,,,,
65.00835848,612,603.9205622,-0.305222561,481.2973717,0.882775237,536.0878502,-2.371626046,593.2281307,-0.322921046,975.5650755,-1.990615689,3222.127674,-1.798793631,OOOOOO,,,,
65.10636449,613,301.3642685,0.695534543,325.9804097,-0.716420586,329.2175572,0.537726845,471.7341376,-0.861327356,821.9563735,-1.395418746,3228.644881,-1.172991358,OOOOOO,,,,
65.20934176,614,317.4023428,0.383051573,234.708483,0.305051492,294.1382244,-0.008283483,402.9279964,-1.50708669,652.4285168,-1.328422789,3129.453106,-0.935767737,OOOOOO,,,,
